Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
295.22787	295.2279	.0000	FA 18:2;O	C18H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:2;O
343.22780	343.2279	.0001	FA 22:6;O	C22H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 22:6;O
343.22780	343.2279	.0001	ST 22:3;O3	C22H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 22:3;O3
343.22780	343.2279	.0001	ST 20:3;O	C20H28O	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 20:3;O
391.26232	391.2621	.0003	FA 21:1;O2	C21H40O4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 21:1;O2
391.26232	391.2621	.0003	MG 18:1	C21H40O4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=MG 18:1
391.26232	391.2621	.0003	WE 21:1;O2	C21H40O4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=WE 21:1;O2
305.24872	305.2486	.0001	FA 20:3	C20H34O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:3
305.24872	305.2486	.0001	SFE 20:3	C20H34O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 20:3
305.24872	305.2486	.0001	WE 20:3	C20H34O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 20:3
305.24872	305.2486	.0001	ST 19:0	C19H32	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 19:0
305.24872	305.2486	.0001	TG 57:7	C60H102O6	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=TG 57:7
319.22786	319.2279	.0000	FA 20:4;O	C20H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:4;O
319.22786	319.2279	.0000	ST 19:1;O	C19H30O	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 19:1;O
307.26436	307.2643	.0001	FA 20:2	C20H36O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:2
307.26436	307.2643	.0001	SFE 20:2	C20H36O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 20:2
307.26436	307.2643	.0001	WE 20:2	C20H36O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 20:2
307.26436	307.2642	.0001	TG 57:4	C60H108O6	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=TG 57:4
357.27999	357.2799	.0001	FA 24:5	C24H38O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 24:5
357.27999	357.2799	.0001	ST 24:2;O2	C24H38O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 24:2;O2
251.20155	251.2017	.0001	FA 16:2	C16H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 16:2
251.20155	251.2017	.0001	SFE 16:2	C16H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 16:2
251.20155	251.2017	.0001	WE 16:2	C16H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 16:2
251.20155	251.2017	.0001	FAHFA 32:3;O	C32H56O4	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=FAHFA 32:3;O
251.20155	251.2016	.0001	TG 45:4	C48H84O6	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=TG 45:4
279.23299	279.2330	.0000	FA 18:2	C18H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:2
279.23299	279.2330	.0000	SFE 18:2	C18H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 18:2
279.23299	279.2330	.0000	WE 18:2	C18H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 18:2
279.23299	279.2330	.0000	FAHFA 36:3;O	C36H64O4	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=FAHFA 36:3;O
279.23299	279.2329	.0001	TG 51:4	C54H96O6	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=TG 51:4
297.24360	297.2435	.0001	FA 18:1;O	C18H34O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:1;O
293.21234	293.2122	.0001	FA 18:3;O	C18H30O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:3;O
325.21727	325.2173	.0000	FA 22:7	C22H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 22:7
407.28040	407.2803	.0001	ST 24:1;O5	C24H40O5	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 24:1;O5
407.28040	407.2803	.0001	MG O-20:5	C23H38O3	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=MG O-20:5
407.28040	407.2803	.0001	ST 23:1;O3	C23H38O3	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 23:1;O3
407.28040	407.2803	.0001	FA 22:4;O	C22H36O3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 22:4;O
407.28040	407.2803	.0001	ST 22:1;O3	C22H36O3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 22:1;O3
496.30470	496.3045	.0002	LPC O-14:1	C22H46NO6P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=LPC O-14:1
496.30470	496.3045	.0002	LPE O-16:1	C21H44NO6P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=LPE O-16:1
357.28005	357.2799	.0001	FA 24:5	C24H38O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 24:5
357.28005	357.2799	.0001	ST 24:2;O2	C24H38O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 24:2;O2
319.22787	319.2279	.0000	FA 20:4;O	C20H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:4;O
319.22787	319.2279	.0000	ST 19:1;O	C19H30O	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 19:1;O
243.16000	243.1602	.0002	FA 13:1;O2	C13H24O4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 13:1;O2
243.16000	243.1602	.0002	FA 12:1	C12H22O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 12:1
243.16000	243.1602	.0002	SFE 12:1	C12H22O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SFE 12:1
243.16000	243.1602	.0002	WE 12:1	C12H22O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=WE 12:1
243.16000	243.1602	.0002	FA 11:1	C11H20O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 11:1
243.16000	243.1602	.0002	SFE 11:1	C11H20O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SFE 11:1
243.16000	243.1602	.0002	WE 11:1	C11H20O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=WE 11:1
343.22783	343.2279	.0000	FA 22:6;O	C22H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 22:6;O
343.22783	343.2279	.0000	ST 22:3;O3	C22H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 22:3;O3
343.22783	343.2279	.0000	ST 20:3;O	C20H28O	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 20:3;O
317.21226	317.2122	.0000	FA 20:5;O	C20H30O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:5;O
317.21226	317.2122	.0000	ST 19:2;O	C19H28O	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 19:2;O
